Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,cell_type
prerank,MSigDB_Hallmark_2020__Oxidative Phosphorylation,0.8446783850666145,1.7616831969302005,0.001,0.001,0.001,121/200,7.90%,ATP5MG;ATP5MC3;COX6A1;ATP5F1B;ATP5PF;UQCRH;COX7C;LDHB;ATP1B1;ATP5F1D;COX8A;NDUFA6;SLC25A5;MDH1;ATP5F1A;ATP5MC2;COX5B;NDUFB7;ATP5MF;COX7A2;ATP5PO;ATP6V0C;NDUFB8;TOMM22;COX6B1;BAX;NDUFA4;COX4I1;MRPS12;CYCS;UQCRB;NDUFB1;UQCRQ;TIMM10;UQCRC1;NDUFA5;SLC25A3;COX7B;NDUFV2;MPC1;TIMM13;HSD17B10;LDHA;NDUFA3;ATP5F1C;PHB2;HTRA2;COX17;ACADM;NDUFB5;UQCRFS1;FH;CYC1;NDUFB6;ATP6AP1;NDUFS4;NDUFA7;IDH3B;PRDX3;ECH1;NDUFB2;SURF1;MGST3;FDX1;PMPCA;SUCLG1;MRPS30;ATP5F1E;COX6C;CYB5A;NDUFS3;NDUFA1;GPI;NDUFS6;MRPL15;NDUFC2;ECHS1;NDUFB4;SLC25A6;NDUFB3;BCKDHA;GLUD1;ATP6V1G1;DLST;MTX2;VDAC3;ACAT1;SUCLA2;IDH3A;RHOT2;PDHB;COX5A;TOMM70;ATP5MC1;BDH2;IDH1;MRPS22;OPA1;SDHA;ATP6V0E1;POR;CS;ATP5PD;NQO2;ISCU;ATP5PB;COX10;ETFA;ATP5ME;NDUFAB1;OGDH;COX11;MRPL34;MFN2;TIMM17A;ETFB;AFG3L2;NDUFA8;DLD;ACADSB;GRPEL1,T cells
prerank,"Reactome_2022__Respiratory Electron Transport, ATP Synthesis By Chemiosmotic Coupling, Heat Production By Uncoupling Proteins R-HSA-163200",0.8607894687346781,1.7182260928205813,0.001,0.001,0.001,54/112,3.41%,ATP5MG;ATP5MC3;COX6A1;ATP5F1B;ATP5PF;UQCRH;COX7C;ATP5F1D;NDUFA11;COX8A;NDUFA6;ATP5F1A;ATP5MC2;COX5B;NDUFB7;NDUFS5;NDUFA12;NDUFB11;COX16;ATP5MF;ATP5PO;NDUFB8;COX6B1;COX4I1;CYCS;UQCRB;NDUFB1;UQCRQ;UQCRC1;NDUFA5;COX7B;NDUFV2;NDUFB10;UCP2;NDUFA3;ATP5F1C;NDUFB5;UQCRFS1;NDUFB6;NDUFS4;NDUFA7;COA1;NDUFAF3;NDUFB2;SURF1;NDUFA13;ATP5F1E;COX6C;NDUFS3;NDUFA1;NDUFS6;NDUFC2;NDUFB4;NDUFB3,T cells
prerank,Reactome_2022__Citric Acid (TCA) Cycle And Respiratory Electron Transport R-HSA-1428517,0.8255814702920433,1.6885286312876229,0.001,0.001,0.001,78/163,6.64%,ATP5MG;ATP5MC3;COX6A1;ATP5F1B;ATP5PF;UQCRH;COX7C;LDHB;ATP5F1D;NDUFA11;COX8A;NDUFA6;ATP5F1A;ATP5MC2;COX5B;NDUFB7;NDUFS5;NDUFA12;NDUFB11;COX16;ATP5MF;ATP5PO;NDUFB8;COX6B1;COX4I1;CYCS;UQCRB;NDUFB1;UQCRQ;UQCRC1;NDUFA5;COX7B;NDUFV2;MPC1;NDUFB10;LDHA;UCP2;NDUFA3;ATP5F1C;NDUFB5;UQCRFS1;NDUFB6;NDUFS4;NDUFA7;COA1;NDUFAF3;IDH3B;NDUFB2;SURF1;NDUFA13;SUCLG1;ATP5F1E;COX6C;NDUFS3;NDUFA1;NDUFS6;BSG;NDUFC2;NDUFB4;NDUFB3;DLST;SUCLA2;IDH3A;PDHB;COX5A;ATP5MC1;SDHA;CS;ATP5PD;RXRA;ATP5PB;ETFA;ATP5ME;PDK2;SCO2;NDUFAB1;OGDH;SLC25A14,T cells
prerank,Reactome_2022__Regulation Of Expression Of SLITs And ROBOs R-HSA-9010553,0.8240534940587517,1.6881978074930226,0.001,0.001,0.001,87/167,6.26%,RPS9;RPS15A;RPS13;RPL29;RPS24;RPS16;RPS15;RPS7;RPL15;RPS12;RPLP1;UBB;RPL26;RPL18A;RPL23;RPL28;PSMB7;PSMB9;RPS19;RPL7A;RPL37;RPLP0;PSMB3;PSMD8;PSMA1;PSME2;RPSA;RPL12;RPL11;RPS21;RPL37A;RPL19;RPS14;PSMB5;RPS10;RPL32;UBC;PSMA2;RPS4X;PSMD4;PSMA5;PSMB2;RPS2;PSMA3;RPL41;RPS23;RPS6;RPL35A;RPL27;RPL36AL;PSMD14;RBX1;PSMA7;RPL10A;RPL18;EIF4A3;RPS8;RPS5;RPL14;RPL9;PSMD12;RPL34;RPL5;FAU;PSMB4;ZSWIM8;UBA52;RPL27A;NCBP2;PSMD7;RPL38;PSMD6;RPL39L;RPL23A;RPS11;PSMD2;MAGOHB;RSL24D1;RPL13A;PSMD13;PSMA6;RPL30;RBM8A;RPS3A;RPS27A;RPS27L;PSMB6,T cells
prerank,Reactome_2022__GTP Hydrolysis And Joining Of 60S Ribosomal Subunit R-HSA-72706,0.8464627359521688,1.6855077319625436,0.001,0.001,0.001,62/109,4.23%,RPS9;RPS15A;RPS13;RPL29;RPS24;RPS16;RPS15;RPS7;RPL15;RPS12;RPLP1;EIF3K;RPL26;RPL18A;RPL23;RPL28;EIF4A1;RPS19;RPL7A;RPL37;RPLP0;RPSA;RPL12;RPL11;RPS21;RPL37A;RPL19;EIF3M;RPS14;RPS10;RPL32;RPS4X;EIF4E;RPS2;RPL41;RPS23;RPS6;EIF3F;RPL35A;RPL27;RPL36AL;RPL10A;RPL18;RPS8;RPS5;RPL14;EIF3A;EIF3I;RPL9;EIF3G;RPL34;RPL5;EIF2S1;FAU;EIF5;UBA52;EIF3L;RPL27A;RPL38;RPL39L;RPL23A;RPS11,T cells
prerank,Reactome_2022__Translation R-HSA-72766,0.7965251374744473,1.6839491841624714,0.001,0.001,0.001,140/263,6.97%,RPS9;RPS15A;RPS13;RPL29;RPS24;SEC61G;RPS16;RPS15;RPS7;MRPS6;RPL15;RPS12;RPLP1;EIF3K;MRPL33;RPL26;RPL18A;RPL23;RPL28;SEC11C;EIF4A1;MRPL51;RPS19;RPL7A;RPL37;RPLP0;SEC61B;RPSA;RPL12;RPL11;MRPS33;MRPS36;SRP14;RPS21;AURKAIP1;RPL37A;RPL19;MRPS24;EIF3M;RPS14;RPS10;RPL32;SRP19;SSR4;RPS4X;MRPL12;MRPL20;EIF4E;RPS2;RPL41;RPS23;RPS6;MRPL52;EIF3F;MRPL21;TRMT112;RPL35A;RPL27;MRPL54;MRPL57;RPL36AL;TUFM;EEF1B2;RPL10A;RPL18;MRPS23;RPS8;SRP54;RPS5;PPA1;MRPL40;RPL14;EIF3A;EIF3I;RPL9;GADD45GIP1;EIF3G;RPL34;RPL5;MRPS21;MRPL48;EIF2S1;MRPL18;MRPL24;MRPS31;MRPS26;SEC11A;FAU;EIF5;MRPS30;MRPL37;DDOST;MTIF3;APEH;UBA52;MRPL41;MRPL15;MRPS9;EIF3L;RPL27A;RPN1;MRPL4;MRPL30;RPL38;RPL39L;RARS2;RPL23A;MRPS18A;RPS11;MRPL1;MRPS7;MRPL10;AIMP2;MRPL58;RSL24D1;MRPL47;RPN2;MRPS22;MRPS27;MRPL9;SRPRB;MTRF1L;RPL13A;MRPS18C;PTCD3;RPL30;WARS2;RPS3A;RPS27A;MRPL16;RPS27L;SSR3;MRPL19;MRPL17;IARS2;EIF2B4;MRPS14;MRPL34;SRP72;SSR2,T cells
prerank,Reactome_2022__L13a-mediated Translational Silencing Of Ceruloplasmin Expression R-HSA-156827,0.8459271172862147,1.6835621634741935,0.001,0.001,0.001,61/108,4.23%,RPS9;RPS15A;RPS13;RPL29;RPS24;RPS16;RPS15;RPS7;RPL15;RPS12;RPLP1;EIF3K;RPL26;RPL18A;RPL23;RPL28;EIF4A1;RPS19;RPL7A;RPL37;RPLP0;RPSA;RPL12;RPL11;RPS21;RPL37A;RPL19;EIF3M;RPS14;RPS10;RPL32;RPS4X;EIF4E;RPS2;RPL41;RPS23;RPS6;EIF3F;RPL35A;RPL27;RPL36AL;RPL10A;RPL18;RPS8;RPS5;RPL14;EIF3A;EIF3I;RPL9;EIF3G;RPL34;RPL5;EIF2S1;FAU;UBA52;EIF3L;RPL27A;RPL38;RPL39L;RPL23A;RPS11,T cells
prerank,Reactome_2022__Cap-dependent Translation Initiation R-HSA-72737,0.8389975151032305,1.683092852916303,0.001,0.001,0.001,62/116,4.23%,RPS9;RPS15A;RPS13;RPL29;RPS24;RPS16;RPS15;RPS7;RPL15;RPS12;RPLP1;EIF3K;RPL26;RPL18A;RPL23;RPL28;EIF4A1;RPS19;RPL7A;RPL37;RPLP0;RPSA;RPL12;RPL11;RPS21;RPL37A;RPL19;EIF3M;RPS14;RPS10;RPL32;RPS4X;EIF4E;RPS2;RPL41;RPS23;RPS6;EIF3F;RPL35A;RPL27;RPL36AL;RPL10A;RPL18;RPS8;RPS5;RPL14;EIF3A;EIF3I;RPL9;EIF3G;RPL34;RPL5;EIF2S1;FAU;EIF5;UBA52;EIF3L;RPL27A;RPL38;RPL39L;RPL23A;RPS11,T cells
prerank,Reactome_2022__Formation Of A Pool Of Free 40S Subunits R-HSA-72689,0.8524815562571785,1.6767179538430341,0.001,0.001,0.001,58/98,4.23%,RPS9;RPS15A;RPS13;RPL29;RPS24;RPS16;RPS15;RPS7;RPL15;RPS12;RPLP1;EIF3K;RPL26;RPL18A;RPL23;RPL28;RPS19;RPL7A;RPL37;RPLP0;RPSA;RPL12;RPL11;RPS21;RPL37A;RPL19;EIF3M;RPS14;RPS10;RPL32;RPS4X;RPS2;RPL41;RPS23;RPS6;EIF3F;RPL35A;RPL27;RPL36AL;RPL10A;RPL18;RPS8;RPS5;RPL14;EIF3A;EIF3I;RPL9;EIF3G;RPL34;RPL5;FAU;UBA52;EIF3L;RPL27A;RPL38;RPL39L;RPL23A;RPS11,T cells
prerank,Reactome_2022__SRP-dependent Cotranslational Protein Targeting To Membrane R-HSA-1799339,0.8457602569486887,1.6719197765408087,0.001,0.001,0.002,70/108,6.27%,RPS9;RPS15A;RPS13;RPL29;RPS24;SEC61G;RPS16;RPS15;RPS7;RPL15;RPS12;RPLP1;RPL26;RPL18A;RPL23;RPL28;SEC11C;RPS19;RPL7A;RPL37;RPLP0;SEC61B;RPSA;RPL12;RPL11;SRP14;RPS21;RPL37A;RPL19;RPS14;RPS10;RPL32;SRP19;SSR4;RPS4X;RPS2;RPL41;RPS23;RPS6;RPL35A;RPL27;RPL36AL;RPL10A;RPL18;RPS8;SRP54;RPS5;RPL14;RPL9;RPL34;RPL5;SEC11A;FAU;DDOST;UBA52;RPL27A;RPN1;RPL38;RPL39L;RPL23A;RPS11;RSL24D1;RPN2;SRPRB;RPL13A;RPL30;RPS3A;RPS27A;RPS27L;SSR3,T cells
prerank,Reactome_2022__Olfactory Signaling Pathway R-HSA-381753,-0.6175522166547889,-1.6663382765726216,0.001,0.7543047455505052,0.369,3/385,9.99%,GNAL;GNB1;LDB2,T cells
prerank,Reactome_2022__Eukaryotic Translation Termination R-HSA-72764,0.8516725006235331,1.6620392261356525,0.001,0.001,0.003,53/90,4.23%,RPS9;RPS15A;RPS13;RPL29;RPS24;RPS16;RPS15;RPS7;RPL15;RPS12;RPLP1;RPL26;RPL18A;RPL23;RPL28;RPS19;RPL7A;RPL37;RPLP0;RPSA;RPL12;RPL11;RPS21;RPL37A;RPL19;RPS14;RPS10;RPL32;RPS4X;RPS2;RPL41;RPS23;RPS6;TRMT112;RPL35A;RPL27;RPL36AL;RPL10A;RPL18;RPS8;RPS5;RPL14;RPL9;RPL34;RPL5;FAU;APEH;UBA52;RPL27A;RPL38;RPL39L;RPL23A;RPS11,T cells
prerank,Reactome_2022__Selenocysteine Synthesis R-HSA-2408557,0.8474435410643121,1.6616616079505828,0.001,0.001,0.003,51/89,4.23%,RPS9;RPS15A;RPS13;RPL29;RPS24;RPS16;RPS15;RPS7;RPL15;RPS12;RPLP1;RPL26;RPL18A;RPL23;RPL28;RPS19;RPL7A;RPL37;RPLP0;RPSA;RPL12;RPL11;RPS21;RPL37A;RPL19;RPS14;RPS10;RPL32;RPS4X;RPS2;RPL41;RPS23;RPS6;RPL35A;RPL27;RPL36AL;RPL10A;RPL18;RPS8;RPS5;RPL14;RPL9;RPL34;RPL5;FAU;UBA52;RPL27A;RPL38;RPL39L;RPL23A;RPS11,T cells
prerank,Reactome_2022__Selenoamino Acid Metabolism R-HSA-2408522,0.8363557177248383,1.657303916752686,0.001,0.001,0.003,53/104,4.68%,RPS9;RPS15A;RPS13;RPL29;RPS24;RPS16;RPS15;RPS7;RPL15;RPS12;RPLP1;RPL26;RPL18A;RPL23;RPL28;RPS19;RPL7A;RPL37;RPLP0;RPSA;RPL12;RPL11;RPS21;RPL37A;RPL19;RPS14;RPS10;RPL32;RPS4X;RPS2;RPL41;RPS23;RPS6;RPL35A;RPL27;RPL36AL;RPL10A;RPL18;RPS8;RPS5;RPL14;RPL9;RPL34;RPL5;FAU;UBA52;RPL27A;RPL38;RPL39L;RPL23A;RPS11;AIMP2;RSL24D1,T cells
prerank,Reactome_2022__Viral mRNA Translation R-HSA-192823,0.8506729795847421,1.655122717309801,0.001,0.001,0.003,59/90,6.33%,RPS9;RPS15A;RPS13;RPL29;RPS24;RPS16;RPS15;RPS7;RPL15;RPS12;RPLP1;RPL26;RPL18A;RPL23;RPL28;RPS19;RPL7A;RPL37;RPLP0;RPSA;RPL12;RPL11;RPS21;RPL37A;RPL19;RPS14;RPS10;RPL32;RPS4X;RPS2;RPL41;RPS23;RPS6;RPL35A;RPL27;RPL36AL;RPL10A;RPL18;RPS8;RPS5;RPL14;RPL9;RPL34;RPL5;FAU;UBA52;RPL27A;RPL38;RPL39L;RPL23A;RPS11;RSL24D1;RPL13A;RPL30;RPS3A;RPS27A;RPS27L;GRSF1;PBRM1,T cells
prerank,Reactome_2022__Response Of EIF2AK4 (GCN2) To Amino Acid Deficiency R-HSA-9633012,0.842019875388052,1.648610191800856,0.001,0.001,0.003,54/98,4.23%,RPS9;RPS15A;RPS13;RPL29;RPS24;RPS16;RPS15;RPS7;RPL15;RPS12;RPLP1;RPL26;RPL18A;RPL23;RPL28;RPS19;RPL7A;RPL37;RPLP0;RPSA;RPL12;RPL11;RPS21;RPL37A;RPL19;RPS14;RPS10;RPL32;RPS4X;RPS2;RPL41;RPS23;RPS6;RPL35A;RPL27;RPL36AL;RPL10A;RPL18;RPS8;RPS5;RPL14;RPL9;RPL34;RPL5;EIF2S1;ATF4;FAU;DDIT3;UBA52;RPL27A;RPL38;RPL39L;RPL23A;RPS11,T cells
prerank,Reactome_2022__Metabolism Of Amino Acids And Derivatives R-HSA-71291,0.7711996648170286,1.6378736085183145,0.001,0.001,0.005,120/354,7.07%,RPS9;RPS15A;RPS13;RPL29;RPS24;RPS16;RPS15;RPS7;RPL15;RPS12;RPLP1;RPL26;RPL18A;RPL23;RPL28;PSMB7;PSMB9;RPS19;RPL7A;RPL37;RPLP0;PSMB3;PSMD8;PSMA1;PSME2;RPSA;RPL12;RPL11;RPS21;RPL37A;SLC38A1;RPL19;RPS14;PSMB5;RPS10;RPL32;PSMA2;RPS4X;CKB;PSMD4;PSMA5;PSMB2;RPS2;PSMA3;RPL41;PCBD1;RPS23;RPS6;HSD17B10;RPL35A;RPL27;MCCC2;RPL36AL;PSMD14;PSMA7;RPL10A;RPL18;RPS8;RPS5;RPL14;RPL9;PSMD12;RPL34;AUH;RPL5;APIP;TSTD1;FAU;OAZ1;SOAT1;PSMB4;UBA52;HIBADH;SBDS;ECHS1;RPL27A;BCKDHA;GLUD1;DLST;PSMD7;ETHE1;DBT;RPL38;PSMD6;RPL39L;RPL23A;RPS11;PSMD2;SLC25A13;PDHB;AIMP2;RSL24D1;ASRGL1;TXN2;RPL13A;PSMD13;ACAD8;PSMA6;RPL30;SHMT1;RPS3A;ARG2;SERINC2;IVD;RPS27A;SLC3A2;RPS27L;PSMB6;NDUFAB1;GATM;GRHPR;SEPHS2;OGDH;AMT;SERINC1;SRR;PSME3;SLC44A1;ALDH9A1;PSMC6,T cells
prerank,Reactome_2022__Nonsense Mediated Decay (NMD) Independent Of Exon Junction Complex (EJC) R-HSA-975956,0.8395637987881515,1.6369994053489048,0.001,0.001,0.005,52/92,4.23%,RPS9;RPS15A;RPS13;RPL29;RPS24;RPS16;RPS15;RPS7;RPL15;RPS12;RPLP1;RPL26;RPL18A;RPL23;RPL28;RPS19;RPL7A;RPL37;RPLP0;RPSA;RPL12;RPL11;RPS21;RPL37A;RPL19;RPS14;RPS10;RPL32;RPS4X;RPS2;RPL41;RPS23;RPS6;RPL35A;RPL27;RPL36AL;RPL10A;RPL18;RPS8;RPS5;RPL14;RPL9;RPL34;RPL5;FAU;UBA52;RPL27A;NCBP2;RPL38;RPL39L;RPL23A;RPS11,T cells
prerank,Reactome_2022__Signaling By ROBO Receptors R-HSA-376176,0.7896551014050717,1.635094799398456,0.001,0.001,0.006,92/208,6.26%,RPS9;RPS15A;RPS13;RPL29;RPS24;RPS16;PFN1;RPS15;RPS7;RPL15;RPS12;RPLP1;UBB;RPL26;RPL18A;RPL23;RPL28;PSMB7;PSMB9;RPS19;RPL7A;RPL37;RPLP0;PSMB3;PSMD8;PSMA1;PSME2;RPSA;RPL12;RPL11;RPS21;RPL37A;RPL19;RPS14;PSMB5;RPS10;RPL32;UBC;PSMA2;RPS4X;PSMD4;PSMA5;PSMB2;RPS2;PSMA3;RPL41;RPS23;RPS6;RPL35A;RPL27;RPL36AL;PSMD14;RBX1;PSMA7;RPL10A;RPL18;EIF4A3;RPS8;RPS5;RPL14;RPL9;PSMD12;RPL34;RPL5;FAU;PSMB4;ZSWIM8;UBA52;SRGAP2;RPL27A;PRKCA;NCBP2;PSMD7;RPL38;PSMD6;RPL39L;PKN2;RPL23A;NELL2;RPS11;PSMD2;MAGOHB;RSL24D1;RPL13A;PSMD13;PSMA6;RPL30;RBM8A;RPS3A;RPS27A;RPS27L;PSMB6,T cells
prerank,Reactome_2022__Peptide Chain Elongation R-HSA-156902,0.8399342233405895,1.631970179564487,0.001,0.001,0.008,51/86,4.23%,RPS9;RPS15A;RPS13;RPL29;RPS24;RPS16;RPS15;RPS7;RPL15;RPS12;RPLP1;RPL26;RPL18A;RPL23;RPL28;RPS19;RPL7A;RPL37;RPLP0;RPSA;RPL12;RPL11;RPS21;RPL37A;RPL19;RPS14;RPS10;RPL32;RPS4X;RPS2;RPL41;RPS23;RPS6;RPL35A;RPL27;RPL36AL;RPL10A;RPL18;RPS8;RPS5;RPL14;RPL9;RPL34;RPL5;FAU;UBA52;RPL27A;RPL38;RPL39L;RPL23A;RPS11,T cells
prerank,Reactome_2022__rRNA Processing In Nucleus And Cytosol R-HSA-8868773,0.7878426035888378,1.6297061757991393,0.001,0.001,0.01,74/189,4.75%,RPS9;RPS15A;RPS13;RPL29;RPS24;RPS16;RPS15;RPS7;RPL15;RPS12;RPLP1;RPL26;RPL18A;RPL23;RPL28;RPS19;RPL7A;RPL37;RPLP0;RPSA;RPL12;RPL11;RPS21;RPL37A;RPL19;RPS14;RPS10;RPL32;RPS4X;RPP21;RPS2;RPL41;KRR1;RPS23;RPS6;TRMT112;RPL35A;NHP2;RPL27;RPL36AL;UTP6;NOP10;XRN2;RPL10A;RPL18;MPHOSPH10;DCAF13;RPS8;SPPL2A;RPS5;RPL14;RPL9;RPL34;RPL5;UTP11;FAU;UBA52;DIS3;FBL;MTREX;SNU13;RPL27A;ERI1;NOP58;EXOSC7;LTV1;RPL38;RPL39L;BMS1;RPL23A;RPS11;DDX49;RSL24D1;EMG1,T cells
prerank,Reactome_2022__rRNA Processing R-HSA-72312,0.7837088662926069,1.6275191864784369,0.001,0.0013471984657902468,0.018,85/199,6.18%,RPS9;RPS15A;RPS13;RPL29;RPS24;RPS16;RPS15;RPS7;RPL15;RPS12;RPLP1;RPL26;RPL18A;RPL23;RPL28;RPS19;RPL7A;RPL37;RPLP0;RPSA;RPL12;RPL11;RPS21;RPL37A;RPL19;RPS14;RPS10;RPL32;RPS4X;RPP21;RPS2;RPL41;KRR1;RPS23;RPS6;HSD17B10;TRMT112;RPL35A;NHP2;RPL27;RPL36AL;UTP6;NOP10;XRN2;RPL10A;RPL18;MPHOSPH10;DCAF13;RPS8;SPPL2A;RPS5;RPL14;RPL9;RPL34;RPL5;UTP11;FAU;UBA52;DIS3;FBL;MTREX;SNU13;RPL27A;ERI1;NOP58;EXOSC7;LTV1;PRORP;RPL38;RPL39L;BMS1;RPL23A;TRMT10C;RPS11;DDX49;RSL24D1;EMG1;RPL13A;TFB1M;RPL30;RPS3A;NOP2;MRM3;RPS27A;RPS27L,T cells
prerank,Reactome_2022__Respiratory Electron Transport R-HSA-611105,0.8323410287850064,1.6264631525186304,0.001,0.001385689850527111,0.02,42/90,3.41%,COX6A1;UQCRH;COX7C;NDUFA11;COX8A;NDUFA6;COX5B;NDUFB7;NDUFS5;NDUFA12;NDUFB11;COX16;NDUFB8;COX6B1;COX4I1;CYCS;UQCRB;NDUFB1;UQCRQ;UQCRC1;NDUFA5;COX7B;NDUFV2;NDUFB10;NDUFA3;NDUFB5;UQCRFS1;NDUFB6;NDUFS4;NDUFA7;COA1;NDUFAF3;NDUFB2;SURF1;NDUFA13;COX6C;NDUFS3;NDUFA1;NDUFS6;NDUFC2;NDUFB4;NDUFB3,T cells
prerank,Reactome_2022__Influenza Viral RNA Transcription And Replication R-HSA-168273,0.8023266988795615,1.6260001036710585,0.001,0.001322703948230424,0.02,69/137,6.33%,RPS9;RPS15A;RPS13;RPL29;RPS24;RPS16;RPS15;RPS7;RPL15;RPS12;RPLP1;RPL26;RPL18A;RPL23;RPL28;RPS19;RPL7A;RPL37;RPLP0;RPSA;RPL12;RPL11;POLR2K;RPS21;RPL37A;RPL19;RPS14;RPS10;RPL32;RPS4X;RPS2;RPL41;RPS23;RPS6;RPL35A;RPL27;RPL36AL;TPR;RPL10A;RPL18;NUP210;RPS8;RPS5;RPL14;RPL9;RPL34;RPL5;POLR2C;FAU;UBA52;POLR2I;GTF2F1;RPL27A;NUP88;RPL38;RPL39L;RPL23A;NUP214;RPS11;NDC1;RSL24D1;RPL13A;POLR2L;RPL30;RPS3A;RPS27A;RPS27L;GRSF1;PBRM1,T cells
prerank,Reactome_2022__Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226,0.7895507144348893,1.6248402396570423,0.001,0.0013589132350579878,0.022,71/179,4.75%,RPS9;RPS15A;RPS13;RPL29;RPS24;RPS16;RPS15;RPS7;RPL15;RPS12;RPLP1;RPL26;RPL18A;RPL23;RPL28;RPS19;RPL7A;RPL37;RPLP0;RPSA;RPL12;RPL11;RPS21;RPL37A;RPL19;RPS14;RPS10;RPL32;RPS4X;RPP21;RPS2;RPL41;KRR1;RPS23;RPS6;RPL35A;RPL27;RPL36AL;UTP6;XRN2;RPL10A;RPL18;MPHOSPH10;DCAF13;RPS8;SPPL2A;RPS5;RPL14;RPL9;RPL34;RPL5;UTP11;FAU;UBA52;DIS3;FBL;MTREX;SNU13;RPL27A;ERI1;NOP58;EXOSC7;LTV1;RPL38;RPL39L;BMS1;RPL23A;RPS11;DDX49;RSL24D1;EMG1,T cells
prerank,Reactome_2022__Nonsense Mediated Decay (NMD) Enhanced By Exon Junction Complex (EJC) R-HSA-975957,0.8193628627772026,1.6208961114996872,0.001,0.0015717315434219544,0.024,63/112,6.29%,RPS9;RPS15A;RPS13;RPL29;RPS24;RPS16;RPS15;RPS7;RPL15;RPS12;RPLP1;RPL26;RPL18A;RPL23;RPL28;RPS19;RPL7A;RPL37;RPLP0;RPSA;RPL12;RPL11;RPS21;RPL37A;RPL19;RPS14;RPS10;RPL32;RPS4X;RPS2;RPL41;RPS23;RPS6;RPL35A;RPL27;RPL36AL;RPL10A;RPL18;EIF4A3;RPS8;RPS5;RPL14;RPL9;RPL34;RPL5;SMG1;FAU;UBA52;RPL27A;NCBP2;RPL38;RPL39L;RPL23A;RPS11;MAGOHB;RSL24D1;RPL13A;RPL30;RBM8A;RPS3A;RPS27A;RPS27L;SMG6,T cells
prerank,Reactome_2022__Eukaryotic Translation Elongation R-HSA-156842,0.8314445189421319,1.619768442015995,0.001,0.0015519726325903642,0.025,52/90,4.23%,RPS9;RPS15A;RPS13;RPL29;RPS24;RPS16;RPS15;RPS7;RPL15;RPS12;RPLP1;RPL26;RPL18A;RPL23;RPL28;RPS19;RPL7A;RPL37;RPLP0;RPSA;RPL12;RPL11;RPS21;RPL37A;RPL19;RPS14;RPS10;RPL32;RPS4X;RPS2;RPL41;RPS23;RPS6;RPL35A;RPL27;RPL36AL;EEF1B2;RPL10A;RPL18;RPS8;RPS5;RPL14;RPL9;RPL34;RPL5;FAU;UBA52;RPL27A;RPL38;RPL39L;RPL23A;RPS11,T cells
prerank,Reactome_2022__Translation Initiation Complex Formation R-HSA-72649,0.8532439756243058,1.6085487832020233,0.001,0.002114065284778541,0.036,29/57,2.52%,RPS9;RPS15A;RPS13;RPS24;RPS16;RPS15;RPS7;RPS12;EIF3K;EIF4A1;RPS19;RPSA;RPS21;EIF3M;RPS14;RPS10;RPS4X;EIF4E;RPS2;RPS23;RPS6;EIF3F;RPS8;RPS5;EIF3A;EIF3I;EIF3G;EIF2S1;FAU,T cells
prerank,"Reactome_2022__mRNA Activation Upon Binding Of Cap-Binding Complex And eIFs, Subsequent Binding To 43S R-HSA-72662",0.8524010411762504,1.6080689837913806,0.001,0.0022353515284223354,0.039,29/58,2.52%,RPS9;RPS15A;RPS13;RPS24;RPS16;RPS15;RPS7;RPS12;EIF3K;EIF4A1;RPS19;RPSA;RPS21;EIF3M;RPS14;RPS10;RPS4X;EIF4E;RPS2;RPS23;RPS6;EIF3F;RPS8;RPS5;EIF3A;EIF3I;EIF3G;EIF2S1;FAU,T cells
prerank,Reactome_2022__Ribosomal Scanning And Start Codon Recognition R-HSA-72702,0.8558679848374122,1.6061225634832286,0.001,0.002194008930001259,0.04,31/57,3.24%,RPS9;RPS15A;RPS13;RPS24;RPS16;RPS15;RPS7;RPS12;EIF3K;EIF4A1;RPS19;RPSA;RPS21;EIF3M;RPS14;RPS10;RPS4X;EIF4E;RPS2;RPS23;RPS6;EIF3F;RPS8;RPS5;EIF3A;EIF3I;EIF3G;EIF2S1;FAU;EIF5;EIF3L,T cells
prerank,Reactome_2022__Cellular Response To Starvation R-HSA-9711097,0.7800116635542769,1.5958317107278919,0.001,0.004385363281744803,0.084,68/152,6.18%,RPS9;RPS15A;RPS13;RPL29;RPS24;RPS16;RPS15;RPS7;RPL15;RPS12;RPLP1;RPL26;RPL18A;RPL23;RPL28;RPS19;RPL7A;RPL37;RPLP0;RPSA;RPL12;RPL11;ATP6V0C;RPS21;RPL37A;RPL19;RPS14;RPS10;RPL32;RPS4X;RPS2;RPL41;RPS23;RPS6;RPL35A;RPL27;RPL36AL;RPL10A;RPL18;RPS8;RPS5;RPL14;RPL9;RPL34;RPL5;EIF2S1;ATF4;LAMTOR3;FAU;DDIT3;UBA52;RPL27A;ATP6V1G1;LAMTOR5;RPL38;RPL39L;RPL23A;RPS11;RSL24D1;FNIP1;RPL13A;ATP6V0D1;ATP6V0E1;RPL30;RPS3A;RPS27A;SZT2;RPS27L,T cells
