Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,cell_type
GO_Biological_Process_2023,Cytoplasmic Translation (GO:0002181),73/93,4.181966530863269e-90,1.1358221097824638e-86,0,0,117.04858803986713,24088.81909207413,RPL4;EIF4A1;RPL5;RPL30;RPL3;RPL32;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPS15;RPS4X;RPL7A;RPS14;RPS16;RPL18A;RPS19;RPL36AL;RPS18;RACK1;RPL36;RPL35;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPS5;RPL22;RPS6;RPL13A;RPS3A;RPSA;RPL37A;RPL24;RPL27;RPL26;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPS29;EIF3I;FAU;RPS21;RPS24;RPS23,EC-PTC
GO_Biological_Process_2023,Translation (GO:0006412),92/234,7.473093085647818e-74,1.0148460410309735e-70,0,0,21.318048945473876,3589.532823499592,RPL4;RPL5;RPL30;RPL3;RPL32;RPL34;RPLP1;RPLP0;RPL8;MRPL34;RPL10A;RPL9;RPL6;MRPL33;RPS15;EEF1B2;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPS19;RPL36AL;RPS18;RPL36;RACK1;RPL35;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS9;RPL21;MRPS24;RPS7;RPS8;RPS5;RPL22;RPS6;RPL13A;RPSA;RPS3A;MRPS6;MRPS18C;TUFM;MRPL52;EEF1A1;EEF1G;MRPL51;RPL37A;RPL24;RPL27;RPL26;AURKAIP1;RPL29;RPL28;UBA52;RPL10;RPL12;MRPS34;RPL11;MRPL17;MRPL14;RPS4Y1;MRPL57;MRPL54;MRPL20;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;GADD45GIP1;RPL41;RPL35A;RPL23A;MRPL22;RPS25;RPS28;RPS27;RPS29;FAU;RPS21;RPS24;RPS23,EC-PTC
GO_Biological_Process_2023,Peptide Biosynthetic Process (GO:0043043),78/158,3.700346002556025e-72,3.3500465809807213e-69,0,0,31.430276381909547,5169.5795811670805,RPL4;RPL5;RPL30;RPL3;RPL32;RPL34;RPLP1;RPLP0;RPL10A;RPL8;MRPL34;RPL9;RPL6;RPS15;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPS19;RPL36AL;RPS18;RPL36;RPL35;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPS5;RPL22;RPS6;RPL13A;RPSA;RPS3A;MRPS6;MRPS18C;EEF1A1;MRPL52;MRPL51;RPL37A;RPL24;RPL27;RPL26;RPL29;RPL28;RPL10;RPL12;RPL11;MRPL14;FURIN;RPS4Y1;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPS29;FAU;RPS21;RPS24;RPS23,EC-PTC
GO_Biological_Process_2023,Macromolecule Biosynthetic Process (GO:0009059),80/183,1.2519571171460278e-68,8.500788825421529e-66,0,0,25.09194745859509,3923.153041873176,RPL4;RPL5;RPL30;RPL3;RPL32;RPL34;RPLP1;RPLP0;RPL10A;RPL8;MRPL34;RPL9;RPL6;EEF1B2;RPS15;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPS19;RPL36AL;RPS18;RPL36;RPL35;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPS5;RPL22;RPS6;RPL13A;RPSA;RPS3A;MRPS6;MRPS18C;TUFM;EEF1A1;EEF1G;MRPL52;MRPL51;RPL37A;RPL24;RPL27;RPL26;RPL29;RPL28;RPL10;RPL12;RPL11;MRPL14;RPS4Y1;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPS29;FAU;RPS21;RPS24;RPS23,EC-PTC
GO_Biological_Process_2023,Gene Expression (GO:0010467),81/296,1.0863083330279915e-50,5.90082686500805e-48,0,0,12.120507399577168,1394.4215855033372,RPL4;RPL5;RPL30;RPL3;RPL32;RPL34;RPLP1;RPLP0;RPL8;MRPL34;RPL10A;RPL9;RPL6;RPS15;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPS19;RPL36AL;RPS18;RPL36;RPL35;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPS5;RPL22;RPS6;RPL13A;RPSA;RPS3A;MRPS6;MRPS18C;MRPL52;EEF1A1;MRPL51;RPL37A;RPL24;RPL27;RPL26;RPL29;RPL28;RPL10;RBM8A;RPL12;RPL11;MRPL14;FURIN;RPS4Y1;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL41;ANGPT2;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPS29;HNRNPF;FAU;RPS21;RPS24;RPS23,EC-PTC
GO_Biological_Process_2023,Cellular Respiration (GO:0045333),43/85,1.2224268844763786e-40,5.533519030396408e-38,0,0,31.237530138637734,2870.8091623540013,NDUFB9;COX7B;NDUFA13;NDUFB8;NDUFB7;NDUFA11;NDUFB10;UQCRB;NDUFA12;NDUFB11;COX4I1;NDUFB4;NDUFB3;NDUFB2;COX7A2;UQCR11;UQCR10;COX6A1;COX5B;COX7C;COX5A;MTLN;UQCRH;UQCRFS1;CYC1;NDUFV2;COX8A;NDUFA8;SURF1;NDUFA6;NDUFA5;NDUFA4;NDUFA3;NDUFA1;NDUFC2;NDUFC1;COX6C;COX6B1;NDUFS8;NDUFS6;UQCRQ;NDUFAB1;CYCS,EC-PTC
GO_Biological_Process_2023,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),38/70,1.342190172070838e-37,5.207697867634851e-35,0,0,35.96614992150707,3053.574528139214,NDUFB9;COX7B;NDUFB8;NDUFB7;NDUFB10;UQCRB;NDUFA12;COX4I1;NDUFB4;NDUFB3;NDUFB2;COX7A2;UQCR11;UQCR10;COX6A1;COX5B;COX7C;COX5A;UQCRH;UQCRFS1;CYC1;NDUFV2;COX8A;NDUFA8;NDUFA6;NDUFA5;NDUFA4;NDUFA3;NDUFA1;NDUFC2;NDUFC1;COX6C;COX6B1;NDUFS8;NDUFS6;UQCRQ;NDUFAB1;CYCS,EC-PTC
GO_Biological_Process_2023,Aerobic Electron Transport Chain (GO:0019646),37/68,1.0905828793921778e-36,3.7025288755364437e-34,0,0,36.09454949944383,2988.857936580408,NDUFB9;COX7B;NDUFB8;NDUFB7;NDUFB10;UQCRB;COX4I1;NDUFB4;NDUFB3;NDUFB2;COX7A2;UQCR11;UQCR10;COX6A1;COX5B;COX7C;COX5A;UQCRH;UQCRFS1;CYC1;NDUFV2;COX8A;NDUFA8;NDUFA6;NDUFA5;NDUFA4;NDUFA3;NDUFA1;NDUFC2;NDUFC1;COX6C;COX6B1;NDUFS8;NDUFS6;UQCRQ;NDUFAB1;CYCS,EC-PTC
GO_Biological_Process_2023,Proton Motive Force-Driven ATP Synthesis (GO:0015986),33/60,4.684806560152644e-33,1.41377051304162e-30,0,0,36.739010038075456,2734.888037962239,NDUFB9;NDUFA13;NDUFB8;NDUFB7;NDUFA11;NDUFB10;NDUFA12;NDUFB11;NDUFB4;NDUFB3;ATP5MC2;NDUFB2;ATP5MC3;ATP5MC1;NDUFV2;ATP5MG;ATP5MF;ATP5ME;ATP5PF;NDUFA8;ATP5PD;NDUFA6;NDUFA5;NDUFA3;NDUFA1;NDUFC2;NDUFC1;ATP5F1D;ATP5F1E;NDUFS8;NDUFS6;NDUFAB1;ATP5PO,EC-PTC
GO_Biological_Process_2023,Oxidative Phosphorylation (GO:0006119),33/63,4.1668857022359956e-32,1.1317261567272967e-29,0,0,33.059968847352025,2388.766366040815,NDUFB9;NDUFA13;NDUFB8;NDUFB7;NDUFA11;NDUFB10;UQCRB;NDUFA12;NDUFB11;NDUFB4;NDUFB3;NDUFB2;UQCRH;NDUFV2;ATP5MG;ATP5MF;ATP5ME;ATP5PF;NDUFA8;ATP5PD;NDUFA6;NDUFA5;NDUFA3;NDUFA1;NDUFC2;CHCHD10;NDUFC1;ATP5F1D;ATP5F1E;NDUFS8;NDUFS6;NDUFAB1;ATP5PO,EC-PTC
GO_Biological_Process_2023,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),30/53,1.1224029551655516e-30,2.771314932936034e-28,0,0,39.03336703741153,2691.822215711284,NDUFB9;NDUFA13;NDUFB8;NDUFB7;NDUFA11;NDUFB10;NDUFA12;NDUFB11;NDUFB4;NDUFB3;NDUFB2;NDUFV2;ATP5MG;ATP5MF;ATP5ME;ATP5PF;NDUFA8;ATP5PD;NDUFA6;NDUFA5;NDUFA3;NDUFA1;NDUFC2;NDUFC1;ATP5F1D;ATP5F1E;NDUFS8;NDUFS6;NDUFAB1;ATP5PO,EC-PTC
GO_Biological_Process_2023,Aerobic Respiration (GO:0009060),27/59,1.9259547665667222e-24,4.359077621662681e-22,0,0,25.12109375,1371.778030550701,NDUFB9;NDUFA13;NDUFB8;NDUFB7;NDUFA11;NDUFB10;UQCRB;NDUFA12;NDUFB11;NDUFB4;NDUFB3;NDUFB2;UQCRH;NDUFV2;NDUFA8;SURF1;NDUFA6;NDUFA5;NDUFA3;NDUFA1;NDUFC2;CHCHD10;NDUFC1;ATP5F1D;NDUFS8;NDUFS6;NDUFAB1,EC-PTC
GO_Biological_Process_2023,Ribonucleoprotein Complex Biogenesis (GO:0022613),31/118,2.0614115529890392e-19,4.306764444552485e-17,0,0,10.644285000356964,457.9780877501042,RPL5;RPS19BP1;RPL11;NOL7;SNU13;RPS15;RPS4X;RPS14;RPS16;RPS15A;RPS19;RPL14;RPL38;RPS11;RPS13;RPS9;NPM1;RPS7;RPS8;RPS5;RPS6;RPL35A;RPS3A;RPS25;RPS28;RPS27;RPL26;RBIS;RSL24D1;RPS24;RPS23,EC-PTC
GO_Biological_Process_2023,Mitochondrial Respiratory Chain Complex Assembly (GO:0033108),27/90,1.0226646330365398e-18,1.9839693880908875e-16,0,0,12.739417989417989,527.7191803851736,NDUFB9;NDUFA13;NDUFB8;NDUFB7;NDUFA11;NDUFB10;NDUFB11;NDUFB4;COX17;NDUFB3;NDUFB2;STMP1;UQCRFS1;COX14;NDUFA8;SURF1;NDUFA6;NDUFA5;NDUFA3;NDUFA1;NDUFC2;NDUFC1;NDUFS8;NDUFAB1;NDUFAF3;TMEM126B;COX20,EC-PTC
GO_Biological_Process_2023,"Mitochondrial Electron Transport, NADH To Ubiquinone (GO:0006120)",18/34,3.4355771929108535e-18,6.220685103963919e-16,0,0,33.06335616438356,1329.5551421219443,NDUFB9;NDUFA8;NDUFB8;NDUFB7;NDUFA6;NDUFB10;NDUFA5;NDUFA4;NDUFB4;NDUFA3;NDUFB3;NDUFB2;NDUFC2;NDUFC1;NDUFS8;NDUFS6;NDUFAB1;NDUFV2,EC-PTC
GO_Biological_Process_2023,NADH Dehydrogenase Complex Assembly (GO:0010257),21/53,1.0540659984968509e-17,1.684025442304381e-15,0,0,19.359375,756.7829716842436,NDUFB9;NDUFA8;NDUFA13;NDUFB8;NDUFB7;NDUFA6;NDUFA11;NDUFB10;NDUFA5;NDUFB11;NDUFB4;NDUFA3;NDUFB3;NDUFB2;NDUFA1;NDUFC2;NDUFC1;NDUFS8;NDUFAB1;NDUFAF3;TMEM126B,EC-PTC
GO_Biological_Process_2023,Mitochondrial Respiratory Chain Complex I Assembly (GO:0032981),21/53,1.0540659984968509e-17,1.684025442304381e-15,0,0,19.359375,756.7829716842436,NDUFB9;NDUFA8;NDUFA13;NDUFB8;NDUFB7;NDUFA6;NDUFA11;NDUFB10;NDUFA5;NDUFB11;NDUFB4;NDUFA3;NDUFB3;NDUFB2;NDUFA1;NDUFC2;NDUFC1;NDUFS8;NDUFAB1;NDUFAF3;TMEM126B,EC-PTC
GO_Biological_Process_2023,Energy Derivation By Oxidation Of Organic Compounds (GO:0015980),19/43,3.182627497827682e-17,4.802231268944435e-15,0,0,23.292619410569102,884.7990187689762,COX8A;COX7B;UQCRB;NDUFA4;COX4I1;COX7A2;UQCR11;UQCR10;COX5B;COX6A1;COX6C;COX5A;COX7C;MTLN;UQCRH;COX6B1;UQCRQ;CYCS;CYC1,EC-PTC
GO_Biological_Process_2023,Ribosome Biogenesis (GO:0042254),32/155,1.1758123714320283e-16,1.6807928425312575e-14,0,0,7.76927259163727,284.9722741843464,RPL5;RPS19BP1;RPL11;NOL7;SNU13;RPS15;RPS4X;RPS14;RPS16;RPS15A;RPS19;RPL14;RPS11;RPS13;RPS9;NPM1;RPS7;RPS8;RPS5;RPS6;RPL35A;RPS3A;MRPL22;RPS25;RPS28;RPS27;RPL27;RPL26;RBIS;RSL24D1;RPS24;RPS23,EC-PTC
GO_Biological_Process_2023,Ribosomal Small Subunit Biogenesis (GO:0042274),24/84,3.0480940235606037e-16,4.1393116839953004e-14,0,0,11.837173579109065,422.90486573362233,RPS9;NPM1;RPS7;RPS19BP1;RPS8;RPS5;RPS6;NOL7;RPS3A;RPSA;SNU13;RPS15;RPS4X;RPS14;RPS25;RPS28;RPS16;RPS15A;RPS27;RPS19;RPS11;RPS13;RPS24;RPS23,EC-PTC
GO_Biological_Process_2023,"Mitochondrial Electron Transport, Cytochrome C To Oxygen (GO:0006123)",12/16,3.1903758241835045e-15,4.126219399277333e-13,0,0,87.42533936651584,2918.1387260516813,COX8A;COX7B;NDUFA4;COX4I1;CYCS;COX7A2;COX5B;COX6A1;COX6C;COX5A;COX7C;COX6B1,EC-PTC
GO_Biological_Process_2023,protein-RNA Complex Assembly (GO:0022618),28/150,1.4027017055432044e-13,1.7316990146615197e-11,0,0,6.811817467757874,201.5971414806939,RPL5;RPL10;RPLP0;RPL11;RPL6;RPS15;RPS14;MRPL20;RPS19;SNRPD2;RPL38;RPS5;RPSA;RPL23A;EIF2S2;LSM4;RPS28;EIF5;RPS27;EIF6;EIF3K;EIF3I;SNRPG;EIF3G;SNRPE;SRSF5;SNRPB;SRSF9,EC-PTC
GO_Biological_Process_2023,Ribosome Assembly (GO:0042255),17/50,2.729997257342753e-13,3.223770674323007e-11,0,0,15.103803997421018,436.9425616297858,RPL5;NPM1;RPL10;RPS5;RPLP0;RPL11;RPSA;RPL23A;RPL6;MRPL22;RPS15;RPS14;MRPL20;RPS28;RPS27;RPS19;EIF6,EC-PTC
GO_Biological_Process_2023,ATP Biosynthetic Process (GO:0006754),11/25,1.72906806146597e-10,1.9567286895589896e-08,0,0,22.85079604130809,513.6463256418008,ATP5PF;ATP5PD;ATP5MC2;ATP5PO;ATP5MC3;ATP5MG;ATP5F1D;ATP5MF;ATP5F1E;ATP5MC1;ATP5ME,EC-PTC
GO_Biological_Process_2023,rRNA Processing (GO:0006364),18/101,7.021907550359906e-09,7.628600362711001e-07,0,0,6.351543158937118,119.24533799599148,RPL5;RPS7;RPS6;RPL11;RPL35A;SNU13;RPS15;RPS14;RPS25;RPS28;RPS16;RPS27;RPS19;EIF6;RPL14;RPL27;RPL26;RPS24,EC-PTC
GO_Biological_Process_2023,Ribosomal Large Subunit Biogenesis (GO:0042273),13/54,2.034556035853756e-08,2.125328535914923e-06,0,0,9.23631272566502,163.57882164980154,RPL5;NPM1;RPL10;RPLP0;RPL11;RPL35A;RPL23A;RPL6;MRPL20;EIF6;RPL14;RPL26;RSL24D1,EC-PTC
GO_Biological_Process_2023,Positive Regulation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process (GO:0043280),18/109,2.4399524431332173e-08,2.4544114205740064e-06,0,0,5.790757188017462,101.50445823437737,MTCH1;BEX3;FIS1;NDUFA13;VCP;EGLN3;GSN;PDCD6;PDCD5;DYNLL1;HSPE1;UACA;TNFSF10;RACK1;RPS3;CYCS;CTSD;SNCA,EC-PTC
GO_Biological_Process_2023,"Mitochondrial Electron Transport, Ubiquinol To Cytochrome C (GO:0006122)",7/12,3.3045136250112636e-08,3.205378216260925e-06,0,0,40.49101796407186,697.473634432146,UQCRB;UQCRQ;CYCS;UQCRFS1;UQCR11;UQCR10;UQCRH,EC-PTC
GO_Biological_Process_2023,rRNA Metabolic Process (GO:0016072),16/91,5.8718539968083637e-08,5.499294984597074e-06,0,0,6.231664137582195,103.760388016468,TRIR;RPL5;RPS7;RPS6;RPL11;RPL35A;RPS15;RPS25;RPS28;RPS16;RPS27;RPS19;RPL14;RPL27;RPL26;RPS24,EC-PTC
GO_Biological_Process_2023,Mitochondrial Translation (GO:0032543),16/98,1.71601272925697e-07,1.5535635242206435e-05,0,0,5.69762019319738,88.758052872182,GADD45GIP1;MRPS24;MRPS34;MRPL17;MRPL14;MRPL34;MRPS6;MRPL57;MRPL54;MRPS18C;TUFM;MRPL22;MRPL33;MRPL52;MRPL20;MRPL51,EC-PTC
GO_Biological_Process_2023,ncRNA Processing (GO:0034470),16/100,2.2887676524247034e-07,2.0052557883824173e-05,0,0,5.5613844930992125,85.03402560755066,RPL5;SSB;RPS7;RPS6;RPL11;RPL35A;RPS15;RPS25;RPS28;RPS16;RPS27;RPS19;RPL14;RPL27;RPL26;RPS24,EC-PTC
GO_Biological_Process_2023,Regulation Of Apoptotic Process (GO:0042981),51/705,2.770264499049726e-07,2.351261993568455e-05,0,0,2.333325982121853,35.23124564895849,ARF4;MTCH1;PDCD5;HSPB1;PARK7;IER3IP1;MYDGF;CFL1;RACK1;TNFSF10;PIM3;CTSD;SOX4;ACTN1;ANXA5;RPS6;NME2;RPS3A;DUSP6;SFRP1;TMBIM4;DDAH2;CRYAB;SQSTM1;PTMA;PPIA;ATF4;VCP;RPL10;GSTP1;HTRA1;RTN4;PRDX2;PRDX5;UBB;BAG1;RPS3;SAP18;PAK2;SNCA;PRELID1;JUN;EGLN3;NPM1;STAT1;HIGD2A;SOD1;PINK1;TCIM;TPT1;HSPA1A,EC-PTC
GO_Biological_Process_2023,Regulation Of Translation (GO:0006417),23/202,3.716354302790989e-07,3.058672207994038e-05,0,0,3.773160366041745,55.86296921807146,RPL5;EPHA4;NPM1;SSB;RPL10;EIF2AK2;HSPB1;RPL13A;YBX1;BZW1;RPS4X;EIF5;EIF6;CSDE1;RACK1;RPS3;EIF4H;RPL26;VIM;PAIP2;GAPDH;SOX4;PAIP1,EC-PTC
GO_Biological_Process_2023,Ribosomal Small Subunit Assembly (GO:0000028),7/17,6.999211504234631e-07,5.591134836912135e-05,0,0,20.240269461077844,286.85113344885144,RPS15;RPS14;RPS28;RPS27;RPS19;RPS5;RPSA,EC-PTC
GO_Biological_Process_2023,Positive Regulation Of Peptidase Activity (GO:0010952),8/25,1.04976800191961e-06,8.146199694896172e-05,0,0,13.622365287944262,187.53830422297048,GRN;NDUFA13;VCP;PRELID1;PINK1;CTSL;PSME1;PSME2,EC-PTC
GO_Biological_Process_2023,Negative Regulation Of Protein Modification By Small Protein Conjugation Or Removal (GO:1903321),11/54,1.522064945157904e-06,0.00011483134419580188,0,0,7.428621462594564,99.50967261105563,RPL5;SUMO1;RPL11;RPS3;ISG15;PARK7;SQSTM1;SOX4;VPS28;COPS9;HSPA1A,EC-PTC
GO_Biological_Process_2023,Mitochondrial Gene Expression (GO:0140053),15/103,1.8715777671671365e-06,0.0001373839247466471,0,0,4.96823347107438,65.52468365182841,GADD45GIP1;MRPS24;MRPS34;MRPL17;MRPL14;MRPL34;MRPS6;MRPL57;MRPL54;MRPS18C;MRPL22;MRPL33;MRPL52;MRPL20;MRPL51,EC-PTC
GO_Biological_Process_2023,Modification-Dependent Macromolecule Catabolic Process (GO:0043632),5/8,2.2203448245514533e-06,0.00015869622482846704,0,0,48.06467661691542,625.6986566640862,UBB;ISG15;NEDD8;RPS27A;UBA52,EC-PTC
GO_Biological_Process_2023,Protein Stabilization (GO:0050821),22/208,2.310799931970897e-06,0.00016092647731366552,0,0,3.466696306542179,44.99049624576541,RPL5;EPHA4;GRN;RPS7;RPL11;ATP1B3;PARK7;ATP1B1;RTN4;PINK1;SUMO1;TMEM88;CDC37;BAG1;PFN1;PPIB;CRYAB;RPL17;GAPDH;PFDN5;SOX4;HSPA1A,EC-PTC
GO_Biological_Process_2023,Protein-Containing Complex Assembly (GO:0065003),29/328,2.49279143696752e-06,0.00016926053857009462,0,0,2.8565496960974146,36.85551101928215,TMED10;PDCD6;CLTA;COX7A2;COX7A1;SLC9A3R2;STMP1;TSPAN4;AP2S1;RPL38;ELOB;HES1;AP2M1;SNCA;TRAPPC1;GPX4;TRAPPC4;TRAPPC5;FN1;CHCHD10;HIGD2A;VAMP8;FKBP1A;CSNK2B;CAPZA2;CHMP2A;ITGB1BP1;PFDN5;HSPA1A,EC-PTC
GO_Biological_Process_2023,Positive Regulation Of Cellular Component Biogenesis (GO:0044089),14/93,2.7477043827299247e-06,0.00018201866106084088,0,0,5.15988433328865,66.0710019037371,VCP;BRK1;PARK7;SNF8;RHOC;MTLN;LGALS3;SDCBP;RGCC;SUMO1;RACK1;RPS3;CHMP2A;PFN1,EC-PTC
GO_Biological_Process_2023,Regulation Of Protein Catabolic Process (GO:0042176),16/122,3.5192499291949623e-06,0.00022757816208794087,0,0,4.402095799811034,55.27827329792435,NDUFA13;VCP;TNFSF12;RDX;ODC1;FURIN;SNF8;OAZ1;RBX1;EEF1A1;SNX3;PINK1;UBB;PSME1;PSME2;VPS28,EC-PTC
GO_Biological_Process_2023,Ribosomal Large Subunit Assembly (GO:0000027),7/22,5.295942808364095e-06,0.0003345065271515554,0,0,13.49001996007984,163.88444555960638,RPL5;MRPL20;RPL10;RPL11;RPLP0;RPL23A;RPL6,EC-PTC
GO_Biological_Process_2023,Positive Regulation Of Cellular Component Organization (GO:0051130),15/113,6.076351731141087e-06,0.0003750766204949816,0,0,4.458951762523191,53.55694265338269,VCP;ANXA2;SURF4;AKR1B1;BRK1;PARK7;RHOC;MTLN;LGALS3;RELN;SUMO1;RACK1;RPS3;S100A10;SNCA,EC-PTC
GO_Biological_Process_2023,Positive Regulation Of Cellular Respiration (GO:1901857),5/10,9.44298677449707e-06,0.0005699367128785343,0,0,28.83582089552239,333.6373173835682,PINK1;PRELID1;VCP;PARK7;ISCU,EC-PTC
GO_Biological_Process_2023,Negative Regulation Of Ubiquitin-Protein Transferase Activity (GO:0051444),6/17,1.3008885971851643e-05,0.0007680898760771537,0,0,15.74724826742764,177.1546202335019,RPL5;RPS7;RPL11;PARK7;BUB3;RPL17,EC-PTC
GO_Biological_Process_2023,Negative Regulation Of Apoptotic Signaling Pathway (GO:2001234),12/82,1.888972070252991e-05,0.0010915847112355,0,0,4.978668390433096,54.15244168256792,LGALS3;NDUFA13;PRELID1;PINK1;GSTP1;AKR1B1;ITGAV;PARK7;SLC25A5;SLC25A4;SLC25A6;HSPA1A,EC-PTC
GO_Biological_Process_2023,Regulation Of Peptidase Activity (GO:0052547),7/27,2.380220982946618e-05,0.0013468083728506,0,0,10.11489520958084,107.68046494059958,CST3;CSTB;NDUFA13;PINK1;CTSL;FURIN;PSMB8,EC-PTC
GO_Biological_Process_2023,Proton Transmembrane Transport (GO:1902600),9/49,3.302378638730336e-05,0.0018304613026105,0,0,6.515202702702703,67.22570174805902,ATP6V0B;ATP6V0E1;RNASEK;FXYD2;ATP5PO;ATP1A1;ATP1B1;ATP6V0C;ATP5MF,EC-PTC
GO_Biological_Process_2023,Regulation Of Mitochondrial Membrane Potential (GO:0051881),8/39,3.932150347343671e-05,0.002135944068677,0,0,7.464912704937854,75.72212633489492,ATP5IF1;VCP;PRELID1;PINK1;UBB;PARK7;MTLN;SOD1,EC-PTC
GO_Biological_Process_2023,Cellular Response To Oxidative Stress (GO:0034599),14/117,4.0482926814070615e-05,0.0021559142985689,0,0,3.9526460349867074,39.97955308534841,JUN;PARK7;HIF1A;PRDX2;CHCHD2;PRDX5;PINK1;RPS3;ROMO1;PPIA;SQSTM1;ATF4;SNCA;HSPA1A,EC-PTC
GO_Biological_Process_2023,Positive Regulation Of Apoptotic Process (GO:0043065),23/270,4.812299575697345e-05,0.0025135010860757,0,0,2.7246839373090586,27.088127658578816,MTCH1;PRNP;JUN;GRN;BTG1;PDCD5;RPS6;HTRA1;DYNLL1;DUSP6;TLE5;SOD1;SFRP1;CTSL;TNFSF10;RACK1;RPS3;SAP18;CTSD;SQSTM1;SOX4;ATF4;SNCA,EC-PTC
GO_Biological_Process_2023,Cytoplasmic Translational Initiation (GO:0002183),7/30,4.9963075860944245e-05,0.0025603719629872,0,0,8.794194220255141,87.09968975505552,EIF4A1;EIF5;EIF3K;EIF6;EIF3I;EIF3G;EIF2S2,EC-PTC
GO_Biological_Process_2023,Formation Of Cytoplasmic Translation Initiation Complex (GO:0001732),5/14,6.702544140269328e-05,0.0033711314601799,0,0,16.016583747927033,153.926389697582,EIF5;EIF3K;EIF6;EIF3I;EIF3G,EC-PTC
GO_Biological_Process_2023,Negative Regulation Of Protein Ubiquitination (GO:0031397),9/54,7.355594450246637e-05,0.0036323262776127,0,0,5.78978978978979,55.10411758007639,SUMO1;RPS3;ISG15;PARK7;BUB3;SQSTM1;SOX4;VPS28;HSPA1A,EC-PTC
GO_Biological_Process_2023,Vesicle Budding From Membrane (GO:0006900),7/32,7.789766234386436e-05,0.0037780366236774,0,0,8.089820359281438,76.53062780515454,SNX3;TMED10;TRAPPC1;TRAPPC4;TRAPPC5;AP2M1;S100A10,EC-PTC
GO_Biological_Process_2023,Negative Regulation Of Oxidative Stress-Induced Neuron Death (GO:1903204),4/8,8.076901417443955e-05,0.0037822179740996,0,0,28.79433681073025,271.3554446066107,PINK1;RACK1;PARK7;HIF1A,EC-PTC
GO_Biological_Process_2023,Negative Regulation Of Ubiquitin Protein Ligase Activity (GO:1904667),4/8,8.076901417443955e-05,0.0037822179740996,0,0,28.79433681073025,271.3554446066107,RPL5;RPS7;RPL11;RPL17,EC-PTC
GO_Biological_Process_2023,Negative Regulation Of Programmed Cell Death (GO:0043069),28/381,0.0001058389117331382,0.0048721776994441,0,0,2.3259060120582684,21.29039540994696,ARF4;RPL10;GSTP1;HSPB1;PRDX2;MYDGF;PRDX5;CFL1;BAG1;TMEM109;PIM3;PAK2;SNCA;PRELID1;NPM1;GPX4;ANXA5;NME2;RPS3A;HIGD2A;SFRP1;TMBIM4;TCIM;DDAH2;CRYAB;PTMA;TPT1;HSPA1A,EC-PTC
GO_Biological_Process_2023,Positive Regulation Of Protein-Containing Complex Assembly (GO:0031334),12/98,0.0001133905465090092,0.0051328120719744,0,0,4.049037146164369,36.78417655197287,LGALS3;VCP;SUMO1;STMP1;RACK1;RPS3;BRK1;ISG15;PARK7;RHOC;MTLN;SNCA,EC-PTC
GO_Biological_Process_2023,Regulation Of Proteolysis Involved In Protein Catabolic Process (GO:1903050),6/24,0.00011560726244627097,0.0051473659803946,0,0,9.619830592924764,87.2067635934294,ATP5IF1;EPHA4;PINK1;UBB;PSME1;PSME2,EC-PTC
GO_Biological_Process_2023,Homotypic Cell-Cell Adhesion (GO:0034109),8/46,0.00013544803052580325,0.0059334975952916,0,0,6.087587785054841,54.22167279465274,ACTN1;GNAS;HSPB1;TLN1;CLIC1;PPIA;MYL12A;CD99,EC-PTC
